旧	kiu 
帅	thai 
归	gui 
目	muk 
旦	dan 
且	cia 
叮	dang 
叶	jap 
甲	gak 
甲	gap 
申	sin 
号	hau 
电	ten 
田	ten 
由	jiu 
只	zak 
只	zi 
只	zit 
叭	ba 
央	jong 
央	qiong 
史	thu 
兄	sung 
叽	gi 
叼	diau 
叫	giau 
叩	keu 
叨	dau 
另	lang 
另	lin 
叹	tan 
冉	nziam 
皿	min 
凹	nziap 
凹	qau 
囚	siu 
四	thi 
生	thang 
矢	ci 
失	sit 
乍	zok 
乍	zak 
禾	vo 
丘	ciu 
丘	kiu 
付	fu 
仗	zong 
代	toi 
代	dai 
仙	then 
们	mun 
仪	nzi 
白	pak 
仔	ze 
仔	zai 
他	ta 
斥	cak 
瓜	ga 
乎	fu 
丛	cung 
令	lin 
令	lang 
用	jung 
甩	fit 
印	jin 
印	jan4g
尔	nzi 
尔	ni 
乐	lok 
乐	ngok 
句	gi
句	gu
匆	cung 
册	cak 
卯	mau 
犯	fan 
外	ngoi 
处	cu 
冬	dung 
鸟	diau 
鸟	nziau 
务	mu 
包	bau 
饥	gi 
主	zu 
市	si 
立	lip 
冯	pang 
立	lap 
玄	sen 
闪	sam 
兰	lam 
半	ban 
汁	zip 
汇	fui 
头	teu 
汉	hon 
宁	nen 
宁	nin 
宁	len 
穴	set 
它	ta 
讨	tau 
写	thia 
让	nziong 
礼	li 
训	sun 
必	bit 
议	nzi 
议	ji 
讯	thin 
讯	sun 
记	gi 
永	jung 
永	jun 
司	thu 
尼	ni 
民	min 
弗	fut 
弗	but 
弘	fung 
弘	sung 
出	cut 
出(tui4,别音)	tui 
辽	liau 
奶	nai 
奴	nu 
召	zau 
加	ga 
皮	pi 
边	ben 
孕	jun 
发	fat 
圣	sin 
对	dui 
台	toi 
矛	mau 
纠	giu 
纠	gau 
母	mu 
幼	jiu 
丝	thi 
邦	bong 
式	sit 
迂	ji 
刑	sin 
戎	jung 
动	tung 
扛	gong 
寺	thu 
吉	git 
吉	get 
扣	keu 
考	kau 
托	tok 
老	lau 
巩	kung 
圾	kip 
圾	thap 
执	zip 
扩	kong 
扩	kok 
扫	thau 
地	ti 
扬	jong 
场	cong 
耳	nzi 
芋	vu 
共	kiung 
共	gung 
芒	mong 
亚	qa 
亚(qa1)	ja 
芝	zi 
朽	jiu 
朽	thiu 
朴	piau 
朴	puk 
朴	pok 
机	gi 
权	ken 
过	go 
臣	sin 
吏	li 
再	zai 
协	sap 
西	thi 
压	qat 
厌	jan 
戌	sut 
戌	thut 
在	zai 
在	coi 
百	bak 
有	jiu 
存	cun 
而	nzi 
而	ji 
页	jap 
匠	thiong 
夸	ka 
夺	tot 
灰	foi 
达	tat 
列	let 
死	thi 
成	sin 
成	sang 
夹	gap 
夹	giap 
夷	ji 
轨	gui 
邪	thia 
邪(jai2,不好)	jai 
尧	nziau 
尧	ngau 
尧	jau
划	vak 
掝(vak5,分拨开)	vak 
㩇(vak5,挥动)	vak 
划	fa 
迈	mai 
毕	bit 
至	zi 
此	cu 
此	ci 
此	ce 
贞	zin 
师	thu 
尘	cin 
尖	ziam 
劣	lot 
光	gong 
当	dong 
早	zau 
吁	ji 
吐	tu 
吓	hak 
虫	cung 
曲	kiuk 
团	ton 
吕	lu 
吕	li 
同	tung 
吊	diau 
吃	sit 
吃	hat 
因	jin 
吸	kip 
吗	ma 
吆	jau 
屿	ji 
屹	jit 
岁	thoi 
帆	fan 
回	fui 
岂	ki 
则	zet 
刚	gong 
网	mong 
肉	nziuk 
年	nzien 
朱	zu 
先	then 
丢	diu 
廷	tin 
舌	set 
竹	zuk 
迁	cen 
迁	ciam 
乔	kiau 
迄	hit 
伟	vui 
传	con
传	zon
乒	bin 
乒	pin 
乓	bong 
乓	pong 
休	thiu 
伍	ngh 
伏	puk 
优	jiu 
臼	kiu 
伐	fat 
延	jen 
仲	zung 
件	ken 
任	nzim 
伤	song 
价	ga 
伦	lun 
伦	lin 
份	fun 
华	fa 
仰	ngong 
仿	fong 
伙	fo 
伪	vui 
自	cu 
伊	ji 
血	set 
向	song 
似	si 
后	heu 
行	hang 
行	hong 
舟	ziu 
全	con 
会	fui 
会	voi 
杀	that 
合	hap 
兆	zau 
企	ki 
众	zung 
爷	ja 
伞	than 
创	cong 
肌	gi 
肋	lak 
朵	do 
杂	cap 
危	ngui 
危	mui 
危	vui 
旬	sun 
旬	cun 
旨	zi 
旭	siuk 
旭	suk 
旭	hiok 
负	fu 
各	gok 
匈	sung 
匈	hiung 
名	miang 
多	do 
争	zang 
色	thet 
壮	zong 
冲	cung
冲	cung
妆	zong 
冰	ben 
冰	bin 
庄	zong 
庆	kin 
亦	jit 
刘	liu 
齐	ce 
交	gau 
次	cu 
衣	ji 
产	than 
决	ket 
亥	hoi 
亥	hai 
充	cung 
妄	mong 
妄	vong 
闭	bi 
问	mun 
闯	cong 
羊	jong 
并	pin 
并	bin 
关	gon1	
米	mi 
灯	den 
州	ziu 
汗	hon 
污	vu 
污	mu 
江	gong 
汛	thin 
汛	sun 
池	ci
池	di
汝	nzia
 汝	lu
汤	tong 
忙	mong 
兴	sin
宇	ji 
宇	qu 
守	siu 
宅	cak 
字	thu 
安	qon 
讲	gong	100%
军	giun 
讳	fui 
讳	vui 
讶	nga 
许	si 
讹	ngo 
讼	thung 
论	lun 
农	nung 
讽	fung 
设	set 
访	fong 
诀	ket 
寻	cim 
那	na 
迅	thin 
迅	sun 
尽	cin
导	dau 
异	jit 
孙	thun 
弛	ci 
阵	zin 
阳	jong 
收	siu 
阶	gai 
阴	jim 
防	fong 
奸	gan 
如	ji
如	lu
如	nzio 
妇	fu 
妇	pu 
妇	bu 
妃	fui 
好	hau 
她	ta 
妈	ma 
戏	si 
羽	ji 
观	gon 
欢	fon 
买	mai 
红	fung 
驮	to 
纤	ciam 
驯	sun 
约	jok 
级	kip 
纪	gi 
驰	ci 
纫	nziun 
巡	sun 
寿	siu 
弄	nung 
麦	mak 
玖	giu 
玛	ma 
形	sin 
进	zin 
戒	gai 
吞	tun 
远	jen 
违	vui 
韧	nziun 
韧	nzin 
运	jun 
扶	pu 
扶	fu 
抚	fu 
抚	pu 
抚	vu 
坛	tan 
技	ki 
技	gi 
坏	fai 
抠	keu 
扰	jiu 
扰	jau 
扼	ngak 
扼	qak 
拒	ki
拒	gi
拒	kio
找	pe 
找	zau 
批	pi 
址	ci 
址	zi 
扯	ce 
扯	ci 
走	zeu 
抄	cau 
坝	ba 
坝	bi 
贡	gung 
汞	gung 
攻	gung 
赤	cak 
折	zet 
折	zat 
抓	za 
抓	nziau 
扳	ban 
抡	lun 
扮	ban 
扮	pan 
抢	ciong 
孝	hau 
坎	kam 
均	jun
均	giun
抑	jit 
抛	pau 
投	teu 
坟	fun 
坑	hang 
坑	kang 
抗	kong 
坊	fong 
抖	deu 
护	fu 
壳	hok 
志	zi 
块	kai 
扭	niu 
扭	neu 
扭	nziu 
声	sang1	
把	ba 
报	bau 
拟	ni 
拟	nzi 
却	kiok 
抒	su 
劫	giap 
芙	fu 
芜	vu 
苇	vui 
芽	nga 
花	fa 
芹	kiun 
芥	gai 
芬	fun 
苍	cong 
芳	fong 
严	nziam 
芦	lu 
芯	thim 
劳	lau 
克	ket 
芭	ba 
苏	thu 
杆	gon 
杜	tu 
杠	gong 
材	coi 
村	cun 
杖	zong 
杏	hen 
杉	cam 
杉	tham 
巫	vu 
巫	mu 
极	git 
极	kit 
极	gip 
极	kip 
李	li3	
杨	jong 
求	kiu 
甫	bu 
匣	gap 
匣	hap 
更	gang 
更	gong 
吾	ngo 
吾	ngai 
束	cuk 
吾	ngu 
豆	teu 
两	liong 
酉	jiu 
丽	li 
医	ji 
辰	sin 
励	li 
否	feu 
还	han 
还	van 
还	hai 
尬	ga 
尬	gai 
歼	ciam 
来	loi 
来	lai 
连	len 
轩	sen 
步	pu 
卤	lu 
坚	gen 
肖	thiau 
旱	hon 
盯	den 
盯	din 
盯	dang 
呈	cin 
时	si 
吴	ngh 
吴	ngo 
吴	ngu 
助	cu 
县	jen 
县	qien 
里	li 
呆	dai 
呆	ngong 
吱	zi 
吱	gi 
吠	poi 
呕	qeu 
园	jen 
旷	kong 
围	vui 
呀	ja 
吨	dun 
足	zuk 
邮	jiu 
男	nam
困	kun 
吵	cau 
串	con 
员	jen 
呐	nap 
呐	nut 
呐	na 
呐	not 
听	tang 
吟	nzim 
吩	pun 
吩	fun 
吹	cui 
呛	cong 
吻	vut 
吻	vun 
吻	mun 
吹	cui 
吭	kang 
吭	hang 
呜	qu 
呜	vu 
吼	hung 
吼	kung 
吧	ba 
邑	jip 
吼	hau 
吼	heu 
别	pet 
囤	tun 
囤	dun 
吮	sun 
吮	nziot 
岖	ki
岖	ku
岗	gong 
帐	zong 
财	coi 
钉	dang 
针	zim 
牡	mo 
牡	meu 
牡	mu 
告	gau 
我	nga 
乱	lon 
利	li 
秃	tut 
秀	thiu 
私	thu 
每	mui 
兵	bin 
估	gu 
体	ti 
何	ho 
佐	zo 
佑	jiu 
但	dan 
伸	sin 
伸	cun 
佃	dian 
佃	ten 
作	zok 
伯	bak 
伶	leng 
伶	lang 
伶	lin 
佣	jung 
低	dai 
你	nzi	70%
你	ni	70%
住	cu 
住	zu 
位	vui 
伴	ban 
伴	pan 
身	sin 
皂	cau 
皂	zau 
伺	cu 
佛	but 
佛	fut 
